key,keyWord,description
2048,Ipv4,Internet Protocol version 4 
2054,ARP,Address Resolution Protocol
32821,RARP,Reverse Address Resolution Protocol
34525,Ipv6,Internet Protocol version 6
34827,PPP,Point-to-Point Protocol
